ExpenseID,Date,Category,Description,Amount,PaymentMethod,MonthlyIncome
289,2024-02-13,Healthcare,Healthcare expense,30.53,Credit Card,45000
773,2024-02-15,Food & Dining,Food & Dining expense,37.56,Net Banking,45000
512,2024-02-15,Education,Education expense,54.25,UPI,45000
943,2024-02-15,Food & Dining,Food & Dining expense,37.7,Debit Card,45000
465,2024-02-16,Transportation,Transportation expense,21.55,Cash,45000
937,2024-02-16,Transportation,Transportation expense,17.92,Cash,45000
484,2024-02-16,Food & Dining,Food & Dining expense,34.13,Net Banking,45000
370,2024-02-16,Entertainment,Entertainment expense,20.36,UPI,45000
705,2024-02-16,Food & Dining,Food & Dining expense,20.05,UPI,45000
679,2024-02-17,Savings & Investment,Savings & Investment expense,103.71,Net Banking,45000
909,2024-02-17,Food & Dining,Food & Dining expense,37.66,UPI,45000
97,2024-02-17,Food & Dining,Food & Dining expense,34.87,Credit Card,45000
184,2024-02-17,Education,Education expense,62.24,Credit Card,45000
944,2024-02-17,Savings & Investment,Savings & Investment expense,83.02,Net Banking,45000
462,2024-02-18,Utilities,Utilities expense,19.07,Debit Card,45000
983,2024-02-20,Food & Dining,Food & Dining expense,24.76,Debit Card,45000
876,2024-02-20,Personal Care,Personal Care expense,21.99,UPI,45000
458,2024-02-20,Utilities,Utilities expense,16.93,Cash,45000
926,2024-02-20,Food & Dining,Food & Dining expense,20.31,UPI,45000
276,2024-02-21,Healthcare,Healthcare expense,32.16,Credit Card,45000
767,2024-02-21,Food & Dining,Food & Dining expense,32.22,UPI,45000
520,2024-02-22,Entertainment,Entertainment expense,29.51,Credit Card,45000
939,2024-02-22,Healthcare,Healthcare expense,30.19,Credit Card,45000
282,2024-02-22,Personal Care,Personal Care expense,19.16,Cash,45000
241,2024-02-22,Entertainment,Entertainment expense,20.24,Debit Card,45000
246,2024-02-24,Personal Care,Personal Care expense,16.66,UPI,45000
901,2024-02-24,Shopping,Shopping expense,44.42,Cash,45000
61,2024-02-24,Savings & Investment,Savings & Investment expense,75.42,Debit Card,45000
979,2024-02-25,Transportation,Transportation expense,15.66,Credit Card,45000
438,2024-02-26,Shopping,Shopping expense,23.44,Cash,45000
836,2024-02-27,Entertainment,Entertainment expense,26.41,Cash,45000
783,2024-02-27,Entertainment,Entertainment expense,27.28,Debit Card,45000
340,2024-02-28,Entertainment,Entertainment expense,21.62,UPI,45000
647,2024-02-28,Entertainment,Entertainment expense,11.18,Cash,45000
404,2024-02-28,Education,Education expense,55.7,UPI,45000
443,2024-02-28,Savings & Investment,Savings & Investment expense,43.65,Cash,45000
328,2024-02-29,Education,Education expense,66.87,UPI,45000
418,2024-02-29,Personal Care,Personal Care expense,17.79,Cash,45000
416,2024-02-29,Utilities,Utilities expense,17.5,Credit Card,45000
3,2024-03-01,Rent,Monthly Rent,8129.54,Net Banking,45000
112,2024-03-02,Utilities,Utilities expense,18.95,Net Banking,45000
429,2024-03-03,Entertainment,Entertainment expense,31.35,UPI,45000
697,2024-03-03,Personal Care,Personal Care expense,18.32,Debit Card,45000
195,2024-03-03,Entertainment,Entertainment expense,26.04,UPI,45000
757,2024-03-03,Healthcare,Healthcare expense,32.44,Net Banking,45000
28,2024-03-04,Savings & Investment,Savings & Investment expense,92.51,UPI,45000
279,2024-03-05,Savings & Investment,Savings & Investment expense,86.4,Debit Card,45000
442,2024-03-05,Food & Dining,Food & Dining expense,32.24,UPI,45000
678,2024-03-05,Healthcare,Healthcare expense,43.77,Debit Card,45000
432,2024-03-05,Entertainment,Entertainment expense,12.76,Net Banking,45000
174,2024-03-06,Savings & Investment,Savings & Investment expense,91.82,Credit Card,45000
670,2024-03-06,Education,Education expense,71.37,Net Banking,45000
719,2024-03-06,Transportation,Transportation expense,20.55,Cash,45000
671,2024-03-07,Shopping,Shopping expense,54.95,UPI,45000
552,2024-03-07,Utilities,Utilities expense,18.69,Net Banking,45000
467,2024-03-07,Education,Education expense,64.21,Net Banking,45000
398,2024-03-08,Education,Education expense,75.31,Cash,45000
334,2024-03-08,Savings & Investment,Savings & Investment expense,71.46,Debit Card,45000
860,2024-03-09,Savings & Investment,Savings & Investment expense,97.66,UPI,45000
611,2024-03-09,Education,Education expense,64.82,Cash,45000
206,2024-03-11,Transportation,Transportation expense,18.25,Credit Card,45000
764,2024-03-11,Healthcare,Healthcare expense,27.14,Cash,45000
790,2024-03-12,Shopping,Shopping expense,20.07,UPI,45000
727,2024-03-12,Savings & Investment,Savings & Investment expense,85.37,Debit Card,45000
887,2024-03-12,Shopping,Shopping expense,47.01,Net Banking,45000
949,2024-03-12,Shopping,Shopping expense,39.45,Debit Card,45000
306,2024-03-13,Healthcare,Healthcare expense,29.06,Cash,45000
405,2024-03-13,Transportation,Transportation expense,20.2,Credit Card,45000
991,2024-03-13,Transportation,Transportation expense,22.83,Debit Card,45000
638,2024-03-14,Food & Dining,Food & Dining expense,33.09,Net Banking,45000
600,2024-03-14,Entertainment,Entertainment expense,27.26,Debit Card,45000
482,2024-03-14,Shopping,Shopping expense,28.53,Net Banking,45000
345,2024-03-15,Savings & Investment,Savings & Investment expense,75.58,UPI,45000
759,2024-03-15,Education,Education expense,42.12,Debit Card,45000
879,2024-03-15,Entertainment,Entertainment expense,24.9,Cash,45000
587,2024-03-15,Education,Education expense,48.11,Credit Card,45000
143,2024-03-16,Savings & Investment,Savings & Investment expense,52.85,UPI,45000
739,2024-03-16,Utilities,Utilities expense,22.33,Credit Card,45000
580,2024-03-16,Savings & Investment,Savings & Investment expense,107.88,UPI,45000
351,2024-03-17,Personal Care,Personal Care expense,18.28,UPI,45000
854,2024-03-17,Utilities,Utilities expense,21.38,Debit Card,45000
902,2024-03-17,Savings & Investment,Savings & Investment expense,77.13,Credit Card,45000
726,2024-03-17,Personal Care,Personal Care expense,17.04,Net Banking,45000
592,2024-03-17,Entertainment,Entertainment expense,22.13,Net Banking,45000
288,2024-03-18,Food & Dining,Food & Dining expense,37.21,Credit Card,45000
988,2024-03-18,Savings & Investment,Savings & Investment expense,102.55,Debit Card,45000
464,2024-03-19,Education,Education expense,58.21,UPI,45000
802,2024-03-19,Personal Care,Personal Care expense,16.21,UPI,45000
673,2024-03-19,Savings & Investment,Savings & Investment expense,78.15,Debit Card,45000
835,2024-03-20,Education,Education expense,54.48,Debit Card,45000
383,2024-03-21,Savings & Investment,Savings & Investment expense,42.52,Cash,45000
658,2024-03-21,Healthcare,Healthcare expense,27.78,Credit Card,45000
690,2024-03-21,Food & Dining,Food & Dining expense,36.05,UPI,45000
701,2024-03-22,Entertainment,Entertainment expense,21.86,Debit Card,45000
152,2024-03-22,Healthcare,Healthcare expense,31.12,Cash,45000
22,2024-03-22,Food & Dining,Food & Dining expense,30.69,UPI,45000
674,2024-03-23,Shopping,Shopping expense,35.54,Debit Card,45000
138,2024-03-23,Healthcare,Healthcare expense,25.1,UPI,45000
323,2024-03-23,Transportation,Transportation expense,18.73,Debit Card,45000
574,2024-03-23,Utilities,Utilities expense,18.56,Credit Card,45000
237,2024-03-24,Transportation,Transportation expense,13.9,Debit Card,45000
149,2024-03-24,Entertainment,Entertainment expense,28.13,Credit Card,45000
565,2024-03-24,Shopping,Shopping expense,54.41,Credit Card,45000
728,2024-03-24,Education,Education expense,60.21,UPI,45000
811,2024-03-25,Shopping,Shopping expense,37.76,Debit Card,45000
307,2024-03-25,Food & Dining,Food & Dining expense,42.72,Debit Card,45000
219,2024-03-25,Utilities,Utilities expense,18.03,UPI,45000
100,2024-03-25,Food & Dining,Food & Dining expense,30.62,UPI,45000
71,2024-03-25,Savings & Investment,Savings & Investment expense,92.23,Debit Card,45000
632,2024-03-26,Utilities,Utilities expense,22.06,UPI,45000
980,2024-03-26,Education,Education expense,66.41,Net Banking,45000
236,2024-03-26,Education,Education expense,64.51,Net Banking,45000
372,2024-03-26,Personal Care,Personal Care expense,18.74,Debit Card,45000
886,2024-03-27,Personal Care,Personal Care expense,22.12,Debit Card,45000
948,2024-03-27,Savings & Investment,Savings & Investment expense,71.16,UPI,45000
377,2024-03-28,Shopping,Shopping expense,50.47,Credit Card,45000
738,2024-03-28,Personal Care,Personal Care expense,19.96,Net Banking,45000
681,2024-03-28,Shopping,Shopping expense,48.66,Net Banking,45000
502,2024-03-30,Utilities,Utilities expense,22.82,Credit Card,45000
441,2024-03-30,Food & Dining,Food & Dining expense,35.57,Debit Card,45000
317,2024-03-30,Food & Dining,Food & Dining expense,37.96,UPI,45000
161,2024-04-01,Healthcare,Healthcare expense,19.23,Net Banking,45000
829,2024-04-01,Transportation,Transportation expense,20.32,Net Banking,45000
4,2024-04-01,Rent,Monthly Rent,8304.61,Net Banking,45000
824,2024-04-02,Utilities,Utilities expense,18.27,Credit Card,45000
968,2024-04-02,Savings & Investment,Savings & Investment expense,121.02,Net Banking,45000
319,2024-04-02,Healthcare,Healthcare expense,30.92,Net Banking,45000
855,2024-04-04,Utilities,Utilities expense,21.84,Net Banking,45000
888,2024-04-04,Personal Care,Personal Care expense,16.6,Net Banking,45000
603,2024-04-05,Utilities,Utilities expense,20.74,Cash,45000
940,2024-04-05,Transportation,Transportation expense,19.74,UPI,45000
110,2024-04-05,Transportation,Transportation expense,21.7,Cash,45000
86,2024-04-07,Utilities,Utilities expense,18.0,Cash,45000
104,2024-04-07,Shopping,Shopping expense,30.37,Debit Card,45000
864,2024-04-07,Savings & Investment,Savings & Investment expense,120.92,Cash,45000
702,2024-04-07,Education,Education expense,70.74,Credit Card,45000
260,2024-04-07,Savings & Investment,Savings & Investment expense,100.49,Cash,45000
240,2024-04-11,Utilities,Utilities expense,20.7,Cash,45000
521,2024-04-11,Healthcare,Healthcare expense,12.98,Credit Card,45000
400,2024-04-12,Shopping,Shopping expense,54.85,Credit Card,45000
652,2024-04-12,Personal Care,Personal Care expense,20.32,Cash,45000
660,2024-04-12,Transportation,Transportation expense,21.42,Credit Card,45000
154,2024-04-12,Entertainment,Entertainment expense,26.39,UPI,45000
617,2024-04-12,Food & Dining,Food & Dining expense,33.38,Cash,45000
877,2024-04-14,Education,Education expense,47.24,Debit Card,45000
333,2024-04-14,Food & Dining,Food & Dining expense,33.11,Debit Card,45000
838,2024-04-15,Entertainment,Entertainment expense,19.01,Cash,45000
746,2024-04-16,Savings & Investment,Savings & Investment expense,70.49,Net Banking,45000
257,2024-04-18,Personal Care,Personal Care expense,20.67,Debit Card,45000
499,2024-04-18,Healthcare,Healthcare expense,20.12,Credit Card,45000
43,2024-04-18,Transportation,Transportation expense,21.54,Net Banking,45000
225,2024-04-18,Education,Education expense,47.92,UPI,45000
869,2024-04-18,Food & Dining,Food & Dining expense,37.77,Credit Card,45000
915,2024-04-18,Entertainment,Entertainment expense,24.43,Net Banking,45000
473,2024-04-18,Savings & Investment,Savings & Investment expense,54.7,Credit Card,45000
44,2024-04-18,Education,Education expense,50.48,UPI,45000
83,2024-04-19,Personal Care,Personal Care expense,21.19,Net Banking,45000
762,2024-04-19,Personal Care,Personal Care expense,17.81,Credit Card,45000
99,2024-04-19,Personal Care,Personal Care expense,17.51,UPI,45000
459,2024-04-20,Savings & Investment,Savings & Investment expense,73.93,UPI,45000
274,2024-04-20,Entertainment,Entertainment expense,25.06,UPI,45000
893,2024-04-21,Food & Dining,Food & Dining expense,41.03,Net Banking,45000
867,2024-04-21,Savings & Investment,Savings & Investment expense,90.72,UPI,45000
40,2024-04-22,Savings & Investment,Savings & Investment expense,88.94,Debit Card,45000
394,2024-04-22,Education,Education expense,82.47,Credit Card,45000
801,2024-04-22,Entertainment,Entertainment expense,30.63,Credit Card,45000
497,2024-04-22,Food & Dining,Food & Dining expense,24.2,UPI,45000
581,2024-04-23,Transportation,Transportation expense,23.35,UPI,45000
14,2024-04-24,Entertainment,Entertainment expense,13.52,Credit Card,45000
474,2024-04-24,Personal Care,Personal Care expense,20.92,Cash,45000
185,2024-04-25,Healthcare,Healthcare expense,25.99,Credit Card,45000
305,2024-04-25,Savings & Investment,Savings & Investment expense,84.58,Credit Card,45000
766,2024-04-25,Savings & Investment,Savings & Investment expense,70.94,Credit Card,45000
560,2024-04-25,Entertainment,Entertainment expense,22.47,Credit Card,45000
277,2024-04-26,Healthcare,Healthcare expense,29.79,Debit Card,45000
460,2024-04-26,Personal Care,Personal Care expense,14.51,UPI,45000
78,2024-04-27,Savings & Investment,Savings & Investment expense,79.02,Net Banking,45000
80,2024-04-27,Food & Dining,Food & Dining expense,16.6,Cash,45000
41,2024-04-27,Food & Dining,Food & Dining expense,38.41,Cash,45000
393,2024-04-27,Healthcare,Healthcare expense,16.12,Net Banking,45000
271,2024-04-28,Healthcare,Healthcare expense,40.97,Cash,45000
380,2024-04-28,Shopping,Shopping expense,30.3,UPI,45000
842,2024-04-29,Personal Care,Personal Care expense,19.19,Net Banking,45000
569,2024-04-29,Personal Care,Personal Care expense,12.82,Net Banking,45000
18,2024-04-29,Entertainment,Entertainment expense,26.89,Net Banking,45000
356,2024-04-29,Utilities,Utilities expense,16.99,UPI,45000
369,2024-04-30,Transportation,Transportation expense,22.39,Debit Card,45000
640,2024-04-30,Transportation,Transportation expense,16.82,Debit Card,45000
204,2024-04-30,Healthcare,Healthcare expense,37.48,Debit Card,45000
584,2024-04-30,Education,Education expense,89.06,UPI,45000
388,2024-05-01,Transportation,Transportation expense,29.5,UPI,45000
5,2024-05-01,Rent,Monthly Rent,7953.17,Net Banking,45000
594,2024-05-01,Healthcare,Healthcare expense,31.0,Debit Card,45000
82,2024-05-01,Savings & Investment,Savings & Investment expense,92.14,Debit Card,45000
846,2024-05-01,Education,Education expense,62.39,Debit Card,45000
233,2024-05-02,Shopping,Shopping expense,40.55,Credit Card,45000
297,2024-05-02,Shopping,Shopping expense,50.8,Credit Card,45000
610,2024-05-03,Education,Education expense,77.44,Cash,45000
602,2024-05-03,Education,Education expense,41.17,Net Banking,45000
262,2024-05-03,Savings & Investment,Savings & Investment expense,83.81,UPI,45000
856,2024-05-03,Personal Care,Personal Care expense,16.07,Credit Card,45000
344,2024-05-04,Personal Care,Personal Care expense,16.23,UPI,45000
999,2024-05-04,Shopping,Shopping expense,33.15,Net Banking,45000
765,2024-05-04,Entertainment,Entertainment expense,31.9,Cash,45000
85,2024-05-04,Personal Care,Personal Care expense,15.48,UPI,45000
513,2024-05-04,Transportation,Transportation expense,21.04,UPI,45000
688,2024-05-05,Personal Care,Personal Care expense,16.56,UPI,45000
252,2024-05-05,Education,Education expense,68.77,Cash,45000
38,2024-05-05,Savings & Investment,Savings & Investment expense,45.81,Credit Card,45000
76,2024-05-06,Transportation,Transportation expense,25.29,Credit Card,45000
752,2024-05-06,Entertainment,Entertainment expense,16.89,Debit Card,45000
933,2024-05-06,Healthcare,Healthcare expense,14.97,Cash,45000
201,2024-05-06,Healthcare,Healthcare expense,31.22,Debit Card,45000
834,2024-05-06,Entertainment,Entertainment expense,20.39,UPI,45000
698,2024-05-06,Personal Care,Personal Care expense,14.37,Credit Card,45000
541,2024-05-06,Food & Dining,Food & Dining expense,39.19,UPI,45000
91,2024-05-07,Transportation,Transportation expense,22.39,Credit Card,45000
791,2024-05-07,Education,Education expense,61.44,Cash,45000
575,2024-05-08,Shopping,Shopping expense,49.95,Cash,45000
954,2024-05-08,Education,Education expense,76.66,Credit Card,45000
285,2024-05-09,Food & Dining,Food & Dining expense,49.56,UPI,45000
549,2024-05-09,Healthcare,Healthcare expense,31.34,Net Banking,45000
973,2024-05-09,Entertainment,Entertainment expense,30.04,Credit Card,45000
166,2024-05-10,Entertainment,Entertainment expense,27.48,Cash,45000
861,2024-05-10,Entertainment,Entertainment expense,26.22,Credit Card,45000
795,2024-05-13,Food & Dining,Food & Dining expense,23.85,Debit Card,45000
224,2024-05-13,Food & Dining,Food & Dining expense,19.6,UPI,45000
650,2024-05-13,Healthcare,Healthcare expense,34.27,UPI,45000
46,2024-05-15,Shopping,Shopping expense,31.36,Credit Card,45000
130,2024-05-15,Shopping,Shopping expense,33.96,Cash,45000
118,2024-05-15,Entertainment,Entertainment expense,17.99,UPI,45000
793,2024-05-16,Personal Care,Personal Care expense,18.18,Debit Card,45000
57,2024-05-16,Savings & Investment,Savings & Investment expense,68.22,Debit Card,45000
934,2024-05-17,Transportation,Transportation expense,13.2,Credit Card,45000
950,2024-05-17,Healthcare,Healthcare expense,30.19,UPI,45000
763,2024-05-18,Savings & Investment,Savings & Investment expense,136.2,Net Banking,45000
916,2024-05-18,Personal Care,Personal Care expense,18.2,Cash,45000
270,2024-05-18,Personal Care,Personal Care expense,17.83,Debit Card,45000
402,2024-05-19,Savings & Investment,Savings & Investment expense,73.01,Credit Card,45000
490,2024-05-19,Transportation,Transportation expense,25.53,UPI,45000
310,2024-05-19,Utilities,Utilities expense,18.6,Net Banking,45000
622,2024-05-19,Education,Education expense,62.07,Cash,45000
579,2024-05-19,Shopping,Shopping expense,22.26,UPI,45000
436,2024-05-21,Food & Dining,Food & Dining expense,33.09,Credit Card,45000
136,2024-05-21,Utilities,Utilities expense,22.1,Cash,45000
952,2024-05-21,Utilities,Utilities expense,19.7,UPI,45000
476,2024-05-22,Transportation,Transportation expense,21.0,Net Banking,45000
158,2024-05-22,Transportation,Transportation expense,23.9,Debit Card,45000
23,2024-05-22,Education,Education expense,56.01,Credit Card,45000
132,2024-05-24,Healthcare,Healthcare expense,28.62,Net Banking,45000
578,2024-05-25,Transportation,Transportation expense,25.08,Cash,45000
183,2024-05-25,Transportation,Transportation expense,17.72,Net Banking,45000
899,2024-05-26,Savings & Investment,Savings & Investment expense,109.13,Cash,45000
102,2024-05-26,Personal Care,Personal Care expense,16.45,UPI,45000
588,2024-05-26,Food & Dining,Food & Dining expense,25.7,UPI,45000
471,2024-05-27,Food & Dining,Food & Dining expense,30.3,Net Banking,45000
754,2024-05-27,Healthcare,Healthcare expense,37.48,Credit Card,45000
301,2024-05-27,Entertainment,Entertainment expense,20.03,Debit Card,45000
760,2024-05-27,Food & Dining,Food & Dining expense,38.1,Cash,45000
777,2024-05-28,Shopping,Shopping expense,31.27,Cash,45000
509,2024-05-28,Utilities,Utilities expense,19.1,Cash,45000
844,2024-05-28,Savings & Investment,Savings & Investment expense,92.65,Credit Card,45000
500,2024-05-28,Healthcare,Healthcare expense,15.55,Debit Card,45000
342,2024-05-29,Personal Care,Personal Care expense,18.11,Net Banking,45000
970,2024-05-29,Personal Care,Personal Care expense,13.92,Cash,45000
300,2024-05-29,Personal Care,Personal Care expense,19.07,Cash,45000
374,2024-05-30,Food & Dining,Food & Dining expense,40.17,Debit Card,45000
629,2024-05-30,Savings & Investment,Savings & Investment expense,86.11,Debit Card,45000
58,2024-05-30,Transportation,Transportation expense,20.76,UPI,45000
264,2024-05-30,Transportation,Transportation expense,17.9,Credit Card,45000
616,2024-05-30,Food & Dining,Food & Dining expense,33.53,Credit Card,45000
881,2024-05-31,Utilities,Utilities expense,24.05,Credit Card,45000
6,2024-06-01,Rent,Monthly Rent,7953.17,Net Banking,45000
753,2024-06-01,Savings & Investment,Savings & Investment expense,65.48,Credit Card,45000
778,2024-06-01,Food & Dining,Food & Dining expense,30.52,Net Banking,45000
171,2024-06-02,Transportation,Transportation expense,18.44,Net Banking,45000
